text,start,duration,video_id
THAT ARE RELEVANT TO THE POSITION NUMBER,196.879,3.44,wexzvClUcUk
THREE,199.68,3.68,wexzvClUcUk
TALK ABOUT ANY SIGNIFICANT ACHIEVEMENTS,200.319,5.761,wexzvClUcUk
YOU HAVE GAINED IN WORK LIFE OR PERSONAL,203.36,3.92,wexzvClUcUk
LIFE SO FAR,206.08,3.439,wexzvClUcUk
AND THEN FINALLY NUMBER FOUR TALK ABOUT,207.28,3.84,wexzvClUcUk
THE TYPE OF PERSON YOU ARE,209.519,4.161,wexzvClUcUk
AND WHAT YOU ARE GOING TO DO IN THE ROLE,211.12,3.92,wexzvClUcUk
IF THEY HIRE YOU,213.68,3.68,wexzvClUcUk
SO YOU SHOULD INCLUDE THOSE FOUR THINGS,215.04,4.32,wexzvClUcUk
WHEN INTRODUCING YOURSELF DURING A JOB,217.36,2.72,wexzvClUcUk
INTERVIEW,219.36,2.799,wexzvClUcUk
AND RIGHT NOW I AM GOING TO GIVE YOU A,220.08,4.48,wexzvClUcUk
BRILLIANT JOB INTERVIEW INTRODUCTION,222.159,3.041,wexzvClUcUk
SCRIPT,224.56,2.72,wexzvClUcUk
THAT YOU CAN USE RIGHT AT THE START OF,225.2,3.84,wexzvClUcUk
YOUR INTERVIEW SO WHEN THE INTERVIEWER,227.28,2.8,wexzvClUcUk
SAYS TO YOU,229.04,3.119,wexzvClUcUk
INTRODUCE YOURSELF HERE'S A BRILLIANT,230.08,4.48,wexzvClUcUk
SCRIPT THAT YOU CAN USE HERE WE GO,232.159,4.481,wexzvClUcUk
THANK YOU FOR GIVING ME THE OPPORTUNITY,234.56,3.599,wexzvClUcUk
TO BE INTERVIEWED FOR THIS POSITION,236.64,2.159,wexzvClUcUk
TODAY,238.159,3.041,wexzvClUcUk
NOW HAVING STUDIED THE JOB DESCRIPTION I,238.799,3.36,wexzvClUcUk
AM CONFIDENT,241.2,3.36,wexzvClUcUk
I HAVE THE SKILLS THE QUALITIES AND THE,242.159,3.681,wexzvClUcUk
QUALIFICATIONS NEEDED,244.56,4.8,wexzvClUcUk
TO EXCEL IN THE ROLE I AM A FAST LEARNER,245.84,5.679,wexzvClUcUk
I POSSESS EXCELLENT PROBLEM SOLVING,249.36,3.12,wexzvClUcUk
CAPABILITIES,251.519,3.601,wexzvClUcUk
AND I CAN MANAGE A SIGNIFICANT WORKLOAD,252.48,4.64,wexzvClUcUk
I HAVE AN IMPRESSIVE TRACK RECORD OF,255.12,2.72,wexzvClUcUk
ACHIEVEMENT,257.12,3.519,wexzvClUcUk
FOR EXAMPLE IN MY PREVIOUS ROLE I WAS,257.84,4.799,wexzvClUcUk
PRAISED BY MY SUPERVISOR,260.639,4.161,wexzvClUcUk
FOR HELPING THE COMPANY FIND WAYS TO,262.639,3.201,wexzvClUcUk
INCREASE SALES,264.8,3.92,wexzvClUcUk
BY IMPROVING CUSTOMER SERVICE STANDARDS,265.84,4.96,wexzvClUcUk
NOW THE TYPE OF PERSON I AM,268.72,4.56,wexzvClUcUk
MEANS I WILL ALWAYS ACT AS A POSITIVE,270.8,3.92,wexzvClUcUk
ROLE MODEL FOR THE COMPANY,273.28,3.199,wexzvClUcUk
AND I WILL MAKE SURE I TAKE,274.72,4.0,wexzvClUcUk
RESPONSIBILITY FOR MY ONGOING,276.479,3.681,wexzvClUcUk
PROFESSIONAL DEVELOPMENT,278.72,3.759,wexzvClUcUk
NOW IF YOU HIRE ME IN THIS POSITION I,280.16,4.0,wexzvClUcUk
BELIEVE YOU WILL QUICKLY SEE,282.479,4.081,wexzvClUcUk
A POSITIVE RETURN ON YOUR INVESTMENT,284.16,4.24,wexzvClUcUk
THAT IS A BRILLIANT,286.56,4.96,wexzvClUcUk
EXAMPLE OF A JOB INTERVIEW INTRODUCTION,288.4,5.359,wexzvClUcUk
THAT YOU CAN USE RIGHT AT THE START OF,291.52,3.28,wexzvClUcUk
YOUR INTERVIEW,293.759,3.361,wexzvClUcUk
SO YOU NOW KNOW EXACTLY WHAT TO SAY AT,294.8,3.679,wexzvClUcUk
THE START OF THE INTERVIEW,297.12,3.04,wexzvClUcUk
WHEN THE INTERVIEWER SAYS TO YOU,298.479,3.841,wexzvClUcUk
INTRODUCE YOURSELF AND IF YOU WANT TO,300.16,3.12,wexzvClUcUk
NOW LEARN,302.32,3.12,wexzvClUcUk
HOW TO ANSWER ALL OF THE TOUGH INTERVIEW,303.28,4.0,wexzvClUcUk
QUESTIONS THAT ARE GOING TO COME YOUR,305.44,3.12,wexzvClUcUk
WAY DURING YOUR INTERVIEW,307.28,3.52,wexzvClUcUk
MAKE SURE YOU CLICK THAT LINK RIGHT NOW,308.56,3.6,wexzvClUcUk
IN THE TOP RIGHT HAND CORNER OF THE,310.8,2.0,wexzvClUcUk
VIDEO,312.16,2.44,wexzvClUcUk
HEAD THROUGH TO MY WEBSITE,312.8,3.679,wexzvClUcUk
PASSMYINTERVIEW.COM AND YOU CAN DOWNLOAD,314.6,2.92,wexzvClUcUk
MY FULL SET,316.479,3.921,wexzvClUcUk
OF 21 BRILLIANT ANSWERS TO TOUGH,317.52,4.08,wexzvClUcUk
INTERVIEW QUESTIONS,320.4,3.6,wexzvClUcUk
IT'S A BRILLIANT RESOURCE IT COMES AS A,321.6,3.599,wexzvClUcUk
PDF GUIDE,324.0,2.72,wexzvClUcUk
WHICH MEANS YOU CAN HAVE IT WITHIN YOUR,325.199,3.761,wexzvClUcUk
INBOX WITHIN TWO MINUTES FROM NOW,326.72,3.84,wexzvClUcUk
AND I PROMISE IT WILL MAKE YOU THE,328.96,3.6,wexzvClUcUk
STANDOUT CANDIDATE DURING YOUR,330.56,4.079,wexzvClUcUk
INTERVIEW FINALLY DON'T FORGET TO HIT,332.56,3.359,wexzvClUcUk
THE SUBSCRIBE BUTTON,334.639,2.961,wexzvClUcUk
I'M ON A MISSION TO HELP AS MANY PEOPLE,335.919,3.521,wexzvClUcUk
AS POSSIBLE TO PASS THEIR INTERVIEWS AND,337.6,3.68,wexzvClUcUk
I CAN ONLY DO THAT IF YOU ARE SUBSCRIBED,339.44,3.84,wexzvClUcUk
AND PLEASE MAKE SURE YOU HIT THAT LIKE,341.28,3.919,wexzvClUcUk
BUTTON BECAUSE THAT MOTIVATES ME,343.28,4.08,wexzvClUcUk
TO CREATE MORE CONTENT FOR YOU THANK YOU,345.199,4.401,wexzvClUcUk
SO MUCH FOR WATCHING AND I WISH YOU,347.36,4.16,wexzvClUcUk
ALL THE BEST FOR PASSING YOUR INTERVIEW,349.6,5.039,wexzvClUcUk
HAVE A BRILLIANT DAY,351.52,3.119,wexzvClUcUk
"HI, IT'S LINDA RAYNIER OF LINDARAYNIER.COM",0.0,2.58,tt4TF1wqz9U
"CAREER STRATEGIST, SPEAKER AND COACH.",2.58,2.38,tt4TF1wqz9U
AND IN THIS VIDEO I'M GOING TO SHOW YOU EXACTLY HOW TO ANSWER THE,5.1,4.16,tt4TF1wqz9U
"""WHERE DO YOU SEE YOURSELF 5 YEARS FROM NOW?"" INTERVIEW QUESTION",9.26,2.54,tt4TF1wqz9U
IN A WAY THAT GETS YOU CLOSER TO LANDING THE JOB OFFER WITHOUT PUTTING OFF THE INTERVIEWER.,11.8,5.12,tt4TF1wqz9U
AND HERE'S A HINT.,17.02,1.2,tt4TF1wqz9U
THE ANSWER DOESN'T INVOLVE YOU SAYING THAT YOU WANT TO BE A MANAGER OR DIRECTOR IN THE NEXT 5 YEARS.,18.22,5.26,tt4TF1wqz9U
"SO IF YOU STRUGGLE WITH THIS INTERVIEW QUESTION THEN PAY ATTENTION,",23.48,3.22,tt4TF1wqz9U
BECAUSE I HAVE A SECRET FORMULA,26.72,2.24,tt4TF1wqz9U
THAT I THINK WORKS ACROSS ANY JOB TITLE AND ANY INDUSTRY.,28.96,4.62,tt4TF1wqz9U
"NOW BEFORE WE ANSWER THIS QUESTION,",33.58,1.58,tt4TF1wqz9U
WE NEED TO UNDERSTAND WHY THE EMPLOYER IS ASKING US THIS IN THE FIRST PLACE.,35.16,4.38,tt4TF1wqz9U
"AS REALISTIC OR UNREALISTIC AS THAT MAY SEEM,",44.06,3.42,tt4TF1wqz9U
"IF YOU GIVE ANY HINTS THAT YOU PLAN TO BE ELSEWHERE,",47.48,4.66,tt4TF1wqz9U
"AND NOT WORK AT THIS COMPANY FROM NOW WELL INTO THE FUTURE,",52.14,3.44,tt4TF1wqz9U
THEN THEY'LL CONSIDER THAT AS A RED FLAG AND LIKELY NOT CONSIDER YOU FURTHER IN THE PROCESS.,55.58,4.38,tt4TF1wqz9U
"SO IF YOU ACTUALLY TRULY PLAN TO RUN A BUSINESS IN THE NEXT 5 YEARS,",60.36,4.32,tt4TF1wqz9U
MAYBE A GOOD IDEA TO NOT MENTION THAT AS PART OF YOUR ANSWER.,64.68,3.4,tt4TF1wqz9U
YOU WANT TO ENSURE THAT YOUR ANSWER SPEAKS TO THIS JOB AND ONLY TO WHAT THIS JOB HAS TO OFFER.,78.78,6.0,tt4TF1wqz9U
"SOMETIMES COMPANIES DON'T KNOW IF THEY'LL HAVE A HIGHER LEVEL ROLE FOR YOU TO GO INTO IN THE NEXT 2, 3, 5 YEARS.",84.78,6.96,tt4TF1wqz9U
"SO IF YOU MAKE IT SOUND LIKE IT'S YOUR EXPECTATION TO BE PROMOTED INTO A MANAGER TITLE,",91.74,5.18,tt4TF1wqz9U
"MANAGER ROLE OR DIRECTOR ROLE IN THE NEXT X NUMBER OF YEARS,",96.94,3.92,tt4TF1wqz9U
"THEN THEY'LL LIKELY ERR ON THE SIDE OF CAUTION AND NOT CONSIDER YOU FURTHER,",100.86,4.52,tt4TF1wqz9U
BECAUSE THEY MAY NOT BE ABLE TO PROVIDE YOU WHAT YOU WANT.,105.38,2.18,tt4TF1wqz9U
OR THEY'LL SEE YOU AS OVERLY AMBITIOUS AND USING THIS OPPORTUNITY AS A STEPPING STONE,107.62,6.5,tt4TF1wqz9U
TO GET TO THE NEXT LEVEL.,114.12,1.6,tt4TF1wqz9U
"OKAY SO NOW WE UNDERSTAND WHY THIS QUESTION IS ASKED,",115.72,3.36,tt4TF1wqz9U
I'LL NOW GIVE YOU MY MAGIC FORMULA FOR HOW THIS QUESTION SHOULD BE ANSWERED.,119.08,4.42,tt4TF1wqz9U
THERE ARE 2 PARTS TO THIS ANSWER,123.64,2.08,tt4TF1wqz9U
"AND IN THIS EXAMPLE, I'VE USED AN ACCOUNTING TYPE OF EXAMPLE.",125.72,3.94,tt4TF1wqz9U
BUT YOU'LL UNDERSTAND THE STRUCTURE AS WE GO ALONG.,129.66,2.58,tt4TF1wqz9U
"SO, PART 1 OF THE ANSWER IS:",132.24,2.56,tt4TF1wqz9U
SO THAT IS PART 1.,157.24,1.54,tt4TF1wqz9U
PART 2 IS:,158.9,1.44,tt4TF1wqz9U
"THE REASON WHY THIS FORMULA WORKS SO WELL IS BECAUSE FIRSTLY, YOU'RE KEEPING IT GENERAL.",180.22,3.86,tt4TF1wqz9U
"YOU'RE NOT TALKING ABOUT SPECIFIC TITLES YOU WANT TO ACHIEVE,",184.1,4.16,tt4TF1wqz9U
WHICH MAY PUT OFF SOME  INTERVIEWERS.,188.26,2.44,tt4TF1wqz9U
"AND INSTEAD, YOU'RE TALKING ABOUT ""WHAT YOU'LL DO"" INSTEAD OF ""WHO YOU'LL BE"" IN THE NEXT 5 YEARS.",190.74,6.48,tt4TF1wqz9U
"AND SECONDLY, YOU SHOW THAT YOU'RE EAGER AND THAT YOU TRULY WANT THIS JOB.",197.22,4.04,tt4TF1wqz9U
"THAT YOU'RE FOCUSED ON THIS ROLE, AND THIS ROLE ONLY.",201.26,3.18,tt4TF1wqz9U
THAT YOU SIMPLY WANT TO HELP AND GIVE VALUE.,204.44,2.78,tt4TF1wqz9U
SO IF YOU'VE BEEN SAYING ANYTHING OTHER THAN THIS,207.62,2.72,tt4TF1wqz9U
"AND YOU LIKE THIS LITTLE 2-PART FORMULA THAT I'VE COME UP WITH TO ANSWER THE,",210.34,3.48,tt4TF1wqz9U
"""WHERE DO YOU SEE YOURSELF 5 YEARS FROM NOW?"" INTERVIEW QUESTION,",213.82,2.82,tt4TF1wqz9U
"THEN FEEL FREE TO USE IT, AND LET ME KNOW HOW IT GOES.",216.64,3.12,tt4TF1wqz9U
"SO NOW YOU KNOW HOW TO ANSWER THIS INTERVIEW QUESTION,",220.2,1.98,tt4TF1wqz9U
BUT DO YOU KNOW IF YOUR RESUME IS GOOD ENOUGH FOR THE INTERVIEW IN THE FIRST PLACE?,222.18,3.88,tt4TF1wqz9U
FEEL FREE TO DOWNLOAD A COPY OF MY 10 ULTIMATE RESUME HACKS CHEAT SHEET,226.06,4.18,tt4TF1wqz9U
LOCATED IN THE LINK BELOW WHERE YOU'LL LEARN TIPS AND TRICKS ON HOW TO LAND MORE INTERVIEWS AND IDEALLY JOB OFFERS.,230.68,6.0,tt4TF1wqz9U
"IF YOU LIKED THIS VIDEO THEN PLEASE GIVE IT A THUMBS UP, SUBSCRIBE, SHARE IT WITH YOUR FRIENDS.",236.68,4.9,tt4TF1wqz9U
THANK YOU SO MUCH FOR WATCHING AND I WILL SEE YOU IN THE NEXT VIDEO!,241.58,3.8,tt4TF1wqz9U
HEY AMBITIOUS PROFESSIONALS! IT'S LINDA RAYNIER OF LINDARAYNIER.COM GUIDING YOU,0.0,4.14,DSaj9qMwvLI
TO A CAREER IN LIFE YOU'LL TRULY ENJOY AND IN TODAY'S VIDEO I'M GOING TO TEACH,4.14,4.59,DSaj9qMwvLI
YOU FOUR KEY STEPS ON HOW TO IMPROVE YOUR COMMUNICATION SKILLS WHETHER YOU'RE,8.73,5.069,DSaj9qMwvLI
TALKING TO JUST ONE PERSON OR A WHOLE GROUP OF PEOPLE AND SO THAT YOU CAN FEEL,13.799,4.711,DSaj9qMwvLI
NATURAL AT EASE AND CONFIDENCE,18.51,18.459,DSaj9qMwvLI
AS A CAREER STRATEGIST I'VE HAD THE HONOUR OF BEING ABLE TO HELP NUMEROUS,37.54,4.72,DSaj9qMwvLI
PROFESSIONALS LAND THEIR DREAM JOB OFFERS AND SO IF THIS IS SOMETHING THAT,42.26,3.81,DSaj9qMwvLI
YOU'RE INTERESTED IN WORKING WITH ME ONE ON ONE I CAN DEFINITELY GIVE YOU DETAILS,46.07,3.96,DSaj9qMwvLI
ABOUT THAT AT THE END OF THIS VIDEO IN MY LINE OF WORK WHERE I WORK WITH,50.03,3.9,DSaj9qMwvLI
CORPORATE PROFESSIONALS AND HELP THEM TO ADVANCE THEIR CAREERS A COMMON TOPIC OF,53.93,4.59,DSaj9qMwvLI
DISCUSSION IS COMMUNICATION IF YOU STRUGGLE WITH COMMUNICATION THEN THIS,58.52,4.8,DSaj9qMwvLI
MAY ALSO BE YOU WHERE YOU'RE IN A SITUATION WHERE YOU'RE TALKING TO PEOPLE,63.32,4.23,DSaj9qMwvLI
AND YOU FIND THAT THE CONVERSATION IS VERY UNNATURAL IT'S FORCED AND IT,67.55,6.12,DSaj9qMwvLI
DOESN'T REALLY GO ANYWHERE AND YOU FIND THAT THE OTHER PERSON IS STRUGGLING TO,73.67,4.23,DSaj9qMwvLI
HOLD THEIR INTEREST IN YOU AND YOU FEEL THAT THERE'S SOMETHING WRONG WITH YOU,77.9,3.81,DSaj9qMwvLI
BECAUSE OF THE WAY THAT YOU'RE COMMUNICATING TO THEM AND THIS CAN,81.71,2.55,DSaj9qMwvLI
EASILY HAPPEN IN A SITUATION WHERE YOU'RE AT A LET'S SAY NETWORKING EVENT,84.26,4.53,DSaj9qMwvLI
AND YOU HAVE TO TALK TO A GROUP OF STRANGERS WHERE YOU JUST FEEL AWKWARD,88.79,3.99,DSaj9qMwvLI
YOU FEEL UNNATURAL AND YOU'RE NOT ABLE TO REALLY DEVELOP ANY CONNECTIONS WITH,92.78,4.47,DSaj9qMwvLI
ANYONE SO TODAY I'M GOING TO TEACH YOU FOUR STEPS THAT WILL REALLY HELP YOU TO,97.25,3.72,DSaj9qMwvLI
IMPROVE YOUR COMMUNICATION SKILLS WHETHER YOU'RE IN A SOCIAL SETTING OR IN,100.97,4.26,DSaj9qMwvLI
A PROFESSIONAL SETTING AND SO THAT YOU CAN FEEL MORE CONFIDENT AND AT EASE STEP,105.23,4.26,DSaj9qMwvLI
NUMBER ONE LISTEN INTENTLY NOW I KNOW WHAT YOU'RE THINKING HOW CAN,109.49,4.47,DSaj9qMwvLI
COMMUNICATION BE ABOUT LISTENING WHEN REALLY IT'S ABOUT TALKING YOU ASSUME,113.96,4.71,DSaj9qMwvLI
THAT TO IMPROVE YOUR COMMUNICATION SKILLS IT'S REALLY ABOUT YOUR ABILITY TO,118.67,3.09,DSaj9qMwvLI
SPEAK RIGHT WELL YES AND NO THE KEY THING ABOUT COMMUNICATION IS THAT IF,121.76,5.31,DSaj9qMwvLI
YOU'RE ABLE TO LISTEN INTENTLY TO THE OTHER PERSON AND YOU'RE ABLE TO HEAR,127.07,4.8,DSaj9qMwvLI
WHAT THEY'RE REALLY SAYING BEYOND THE WORDS THAT ARE COMING OUT OF THEIR,131.87,2.97,DSaj9qMwvLI
MOUTHS YOU'RE GONNA BE ABLE TO HAVE MORE VALUE TO ADD TO THE CONVERSATION BECAUSE,134.84,4.38,DSaj9qMwvLI
YOU'RE GONNA BE ABLE TO SAY SOMETHING THAT IS BEYOND WHAT IT IS THAT THEY'RE,139.22,4.29,DSaj9qMwvLI
JUST TALKING ABOUT AT A SURFACE LEVEL LISTENING INTENTLY DOESN'T JUST MEAN,143.51,3.78,DSaj9qMwvLI
USING YOUR EARS AND HEARING WHAT THE PERSON IS SAYING IT'S REALLY BEING ABLE,147.29,4.29,DSaj9qMwvLI
TO GET A SENSE OF WHAT THEY'RE FEELING IT'S BEING ABLE TO GET A SENSE OF REALLY,151.58,4.56,DSaj9qMwvLI
WHAT THEY'RE TRYING TO EXPRESS AND WAIT MAYBE WHAT THEY'RE NOT TRYING TO EXPRESS,156.14,4.92,DSaj9qMwvLI
AS WELL SO IT'S REALLY ABOUT USING YOUR INTUITION AS WELL BEING ABLE TO READ A,161.06,4.2,DSaj9qMwvLI
PERSON HEAR THE WORDS THAT ARE COMING OUT OF THEIR MOUTHS BUT ALSO HEAR WHAT,165.26,3.9,DSaj9qMwvLI
IT IS THAT THEY'RE REALLY TRY TO MEAN WHEN THEY'RE TALKING ABOUT THAT,169.16,2.82,DSaj9qMwvLI
AND WHENEVER YOU CAN REALLY DO THIS EXERCISE WHERE YOU'RE REALLY EXTENDING,171.98,5.52,DSaj9qMwvLI
YOURSELF IN A WAY THAT YOU'RE REALLY LISTENING AND PAYING ATTENTION TO,177.5,3.36,DSaj9qMwvLI
SOMEONE THEY CAN FEEL THAT OFF OF YOU AND AUTOMATICALLY THEY FEEL THAT YOU'RE,180.86,4.59,DSaj9qMwvLI
MORE ENGAGED WITH THEM AND THEY'RE MORE LIKELY TO SHARE AND TO TALK TO YOU AND,185.45,4.47,DSaj9qMwvLI
TO FEEL COMFORTABLE AROUND YOU AND THAT IS A KEY PART TO BEING A GOOD,189.92,4.38,DSaj9qMwvLI
COMMUNICATOR STEP NUMBER TWO RESPOND WITH PHRASES THAT RELATE TO WHAT THAT,194.3,5.1,DSaj9qMwvLI
PERSON IS TALKING ABOUT YOU CAN START OFF WITH PHRASES SUCH AS THAT'S,199.4,5.16,DSaj9qMwvLI
INTERESTING BECAUSE I CAN RELATE BECAUSE THAT'S TRUE,204.56,5.01,DSaj9qMwvLI
BECAUSE STARTING YOUR CONVERSATION WITH THESE TYPES OF WORDS SHOWS THAT YOU'RE,209.57,5.73,DSaj9qMwvLI
INTERESTED AND ENGAGED IN THE OTHER PERSON AND SO IF YOU WANT PEOPLE TO BE,215.3,4.2,DSaj9qMwvLI
ENGAGED AND INTERESTED IN YOU WHEN YOU'RE COMMUNICATING WITH THEM YOU FIRST,219.5,4.17,DSaj9qMwvLI
HAVE TO GIVE THAT ENERGY SAYING THINGS LIKE THAT'S TRUE BECAUSE ETC ETC ETC,223.67,5.75,DSaj9qMwvLI
SHOWS THAT YOU CAN RELATE AND YOU CAN VALIDATE WHAT THE OTHER PERSON IS SAYING,229.42,4.93,DSaj9qMwvLI
AND THAT IS WHAT AS HUMAN BEINGS WE'RE ALL LOOKING TO DO TO BE VALIDATED TO BE,234.35,5.85,DSaj9qMwvLI
HEARD BY OTHER PEOPLE AND TO FEEL CONNECTED TO THOSE THAT WE'RE TALKING TO,240.2,4.08,DSaj9qMwvLI
STEP NUMBER THREE TO IMPROVING YOUR COMMUNICATION SKILLS TELL STORIES AFTER,244.28,4.62,DSaj9qMwvLI
THE BECAUSE PART OF YOUR CONVERSATION TELL A STORY THAT RELATES TO WHAT THAT,248.9,5.7,DSaj9qMwvLI
PERSON IS TALKING ABOUT THE STORY OBVIOUSLY HAS TO HAVE A POINT AND IT HAS,254.6,4.35,DSaj9qMwvLI
TO BE SOMETHING THAT IS IN RELATION TO WHAT YOU GUYS ARE DISCUSSING AS I ALWAYS,258.95,4.32,DSaj9qMwvLI
SAY A GOOD STORY FOLLOWS THE SAME PATTERN AS A MOVIE THINK OF ANY GOOD,263.27,4.2,DSaj9qMwvLI
MOVIE YOU'VE WATCHED AND WHEN YOU CAN BREAK IT DOWN THERE ARE ACTUALLY THREE,267.47,4.47,DSaj9qMwvLI
KEY PARTS TO THE MOVIE AND I CALL THIS SAR AN ACRONYM THAT STANDS FOR SITUATION,271.94,6.03,DSaj9qMwvLI
ACTION AND RESULTS THE MAJORITY OF THE MOVIE IS MADE UP OF THIS SITUATION THE,277.97,6.09,DSaj9qMwvLI
SETTING UP OF THE STORY GETTING TO KNOW THE CHARACTERS THEIR STORIES THEIR,284.06,4.77,DSaj9qMwvLI
SITUATIONS THE THINGS THAT THEY'RE DEALING WITH THE ISSUES THAT THEY'RE,288.83,3.21,DSaj9qMwvLI
HAVING TO GO THROUGH AND THE SITUATION THE SETTING THAT THEY'RE IN THE SECOND,292.04,4.5,DSaj9qMwvLI
PART OF THE MOVIE IS THE ACTION WHERE THE GOOD GUY FIGHTS THE BAD GUY SO,296.54,4.17,DSaj9qMwvLI
YOU'RE ACTUALLY SEEING WHAT ARE THE STEPS THAT THAT GUY IS,300.71,3.45,DSaj9qMwvLI
TAKING OR THAT GIRL IS TAKING TO RESOLVE THE INITIAL SITUATION OR THE PROBLEM,304.16,5.1,DSaj9qMwvLI
THAT THEY'RE DEALING WITH AND THE THIRD PART OF THE MOVIE IS THE SHORTEST IN,309.26,3.12,DSaj9qMwvLI
LENGTH AND IT'S SIMPLY THE CONCLUSION OR THE RESULT WHAT ENDED UP HAPPENING WHEN,312.38,5.07,DSaj9qMwvLI
YOU CAN LEARN TO TELL YOUR STORIES USING THIS TYPE OF STRUCTURE IT'S GOING TO,317.45,3.93,DSaj9qMwvLI
MAKE THE OTHER PERSON FEEL MORE ENGAGED MORE INTERESTED IN YOU AND IN YOUR STORY,321.38,4.62,DSaj9qMwvLI
AND IT'S GOING TO HELP YOU TO PROVE THE POINT THAT YOU'RE TRYING TO MAKE AS WELL,326.0,3.84,DSaj9qMwvLI
AND FINALLY STEP NUMBER FOUR TO IMPROVING YOUR COMMUNICATION SKILLS,329.84,2.96,DSaj9qMwvLI
PRACTICE THIS IS SOMETHING THAT SO MANY PROFESSIONALS SEEM TO OVERLOOK WHEN,332.8,5.26,DSaj9qMwvLI
THEY'RE GOING TO ANY NETWORKING EVENT OR MEETING PEOPLE FOR THE FIRST TIME AND,338.06,4.26,DSaj9qMwvLI
THEY KNOW THAT THEY'RE GONNA HAVE TO MEET THESE PEOPLE AND TALK TO THESE,342.32,3.0,DSaj9qMwvLI
PEOPLE AND THAT IS TO PRACTICE PRACTICE AHEAD OF TIME WHAT YOU'RE GOING TO SAY,345.32,5.28,DSaj9qMwvLI
IF YOU HAD AN IMPORTANT PRESENTATION TO DO AT WORK YOU WOULDN'T JUST WALK INTO,350.6,3.87,DSaj9qMwvLI
THE MEETING AND JUST BE UNPREPARED AND TALK ON THE FLY YOU WOULD WANT TO,354.47,4.68,DSaj9qMwvLI
PRACTICE AHEAD OF TIME WELL IN OTHER PROFESSIONAL AND SOCIAL SETTINGS IT ALSO,359.15,4.05,DSaj9qMwvLI
DOESN'T HURT TO PRACTICE AHEAD OF TIME YOU WANT TO HAVE YOUR STORIES AHEAD OF,363.2,4.74,DSaj9qMwvLI
TIME PREPARED SO THAT WHEN YOU DO GO AHEAD AND COMMUNICATE THEM THEY'RE MORE,367.94,4.05,DSaj9qMwvLI
FLUENT THEY'RE MORE FLUID AND THEY COME OFF MORE NATURALLY WITHOUT THINKING,371.99,4.65,DSaj9qMwvLI
THROUGH AND DEVELOPING YOUR STORIES YOU WON'T SUCCEED IN YOUR COMMUNICATION SO,376.64,4.56,DSaj9qMwvLI
WORK ON YOUR COMMUNICATION SKILLS BY PRACTICING ON YOUR OWN TIME AND THEN THE,381.2,4.17,DSaj9qMwvLI
NEXT TIME THAT YOU HAVE TO GO INTO A GROUP MEETING OR GROUP CONVERSATION OR,385.37,4.29,DSaj9qMwvLI
JUST A ONE-ON-ONE CONVERSATION YOU'LL BE ABLE TO COMMUNICATE IN A MORE NATURAL,389.66,4.59,DSaj9qMwvLI
AND CONFIDENT WAY SO THERE YOU HAVE IT MY FOUR STEPS ON HOW YOU CAN IMPROVE,394.25,4.47,DSaj9qMwvLI
YOUR COMMUNICATION SKILLS WHETHER IN A GROUP OR INDIVIDUAL SETTING NOW IF,398.72,4.53,DSaj9qMwvLI
YOU'RE SOMEONE WHO'S BEEN SEARCHING FOR A JOB FOR A WHILE YOU'VE BEEN LOOKING,403.25,3.36,DSaj9qMwvLI
YOU'VE BEEN GOING ON INTERVIEWS BUT YOU JUST HAVEN'T BEEN SUCCESSFUL AND YOU,406.61,3.66,DSaj9qMwvLI
REALIZE THAT YOU NEED ONE-ON-ONE PROFESSIONAL HELP,410.27,2.82,DSaj9qMwvLI
THEN FEEL FREE TO REACH OUT TO ME HEAD ON OVER TO MY WEBSITE LINDARAYNIER.COM/STANDOUTGETHIRED,413.09,4.77,DSaj9qMwvLI
FEEL FREE TO READ THROUGH THE PAGE FILL OUT THE,417.86,4.62,DSaj9qMwvLI
APPLICATION FORM AND IF I FEEL OR MY TEAM FEELS THAT WE'RE A POTENTIAL MATCH,422.48,5.07,DSaj9qMwvLI
THEN WE'LL REACH OUT TO YOU DIRECTLY AND WE'LL TAKE IT FROM THERE IF YOU LIKE,427.55,4.26,DSaj9qMwvLI
THIS VIDEO THEN PLEASE GIVE IT A THUMBS UP SUBSCRIBE SHARE IT WITH YOU,431.81,3.67,DSaj9qMwvLI
FRIENDS THANK YOU SO MUCH FOR WATCHING AND I WILL SEE YOU NEXT TIME,435.48,17.72,DSaj9qMwvLI
TODAY'S TRAINING IS A POWERFUL ONE,0.03,6.12,yKCUTZaKgNA
BECAUSE THE MOST IMPORTANT SKILL WHEN IT,2.52,5.73,yKCUTZaKgNA
COMES TO GETTING GOOD JOB OFFERS AND,6.15,4.409,yKCUTZaKgNA
GETTING THAT CAREER THAT YOU'LL ACTUALLY,8.25,5.969,yKCUTZaKgNA
ENJOY IS IN KNOWING HOW TO SELL YOURSELF,10.559,5.401,yKCUTZaKgNA
IN THIS VIDEO I'M GOING TO TEACH YOU,14.219,3.721,yKCUTZaKgNA
SOME OF THE STRATEGIES THAT HAVE HELPED,15.96,4.67,yKCUTZaKgNA
MY CLIENTS LAND FIVE AND SIX FIGURE JOB,17.94,5.64,yKCUTZaKgNA
OPPORTUNITIES WITH BOTH SMALL AND LARGE,20.63,6.1,yKCUTZaKgNA
COMPANIES INCLUDING ONES LIKE GOOGLE AND,23.58,6.029,yKCUTZaKgNA
